name,Cases,Deaths,Sick,Spread,DaytimePopDensity,Traffic,SVIHousing,Vaccines,DistancingGrade,Testing,PctBeds,PctVentilators,PctBlack,PctNative,AirPollution,PctGE65,PrematureDeath,Smoking,Diabetes,Obesity,PctNoIns,SVISocioeconomic
"Montana, Beaverhead",1323,15,20.948532539345,0.148904006046863,1.7,55.120283372,0.5094,0.521,3.7,2835,0.54,0.0,0.0032964696,0.0192471289,7.3,21.2,5050.9262305,0.1461220347,0.078,0.267,8.1,0.2424
"Montana, Big Horn",2911,81,8.92187734292997,0.0408794228787358,2.7,30.506454211,0.4862,0.333,3.7,3649,0.4,0.0,0.0038236617,0.6603688709,6.0,11.8,20451.041587,0.2893644287,0.146,0.379,32.3,0.892
"Montana, Blaine",1000,24,5.72939620978405,0.039,1.5,13.738928765,0.9153,0.297,2.0,718,0.0,0.1525,0.0038195975,0.5008079918,5.7,14.6,12508.748684,0.2604204289,0.136,0.391,15.1,0.8898
"Montana, Broadwater",748,12,15.1191454396056,0.122994652406417,4.1,50.593713147,0.0232,0.715,3.0,3928,0.57,0.0,0.0037797864,0.0167625308,6.0,23.1,6197.4362553,0.1528703608,0.088,0.34,7.2,0.1583
"Montana, Carbon",1167,20,8.58689565055068,0.078834618680377,4.4,30.898384789,0.022,0.573,3.7,2611,0.83,0.0475,0.0054134777,0.0127870077,5.4,24.2,6990.3637101,0.1440672961,0.061,0.275,6.9,0.0892
"Montana, Carter",170,5,2.4232633279483,0.0176470588235294,0.3,1.2044608666,0.2165,0.732,3.7,0,0.73,0.0663,0.0008077544,0.0088852989,5.2,25.4,,0.1445730294,0.121,0.335,20.4,0.1242
"Montana, Cascade",13345,210,12.1627083767133,0.0744098913450731,30.5,229.4441866,0.8564,0.535,3.7,4343,0.93,0.49,0.0150655904,0.0493857404,5.8,17.9,7298.5505148,0.1683570847,0.089,0.273,7.8,0.2452
"Montana, Chouteau",621,8,8.18102697998259,0.0756843800322061,1.3,8.4734523456,0.6173,0.733,3.0,497,0.86,0.1175,0.001740644,0.1907745866,5.7,19.3,6912.1899229,0.1945985832,0.098,0.289,10.9,0.4264
"Montana, Custer",1828,26,24.9438978076989,0.158096280087527,3.1,142.06437854,0.6593,0.628,3.7,6043,0.86,0.14,0.0046607975,0.0235629208,5.7,18.7,5894.1295812,0.1520074476,0.11,0.328,5.8,0.0914
"Montana, Daniels",231,9,8.58614768174013,0.0649350649350649,1.2,21.667486262,0.0869,0.641,3.3,2840,0.71,0.0,0.0034344591,0.0291929021,6.0,26.9,7717.5265608,0.1342179688,0.186,0.268,4.4,0.0048
"Montana, Dawson",1381,34,8.64055299539171,0.054308472121651,3.7,98.671748198,0.5285,0.666,3.7,360,0.52,0.07,0.0043778802,0.0239631336,5.6,17.9,4842.0387778,0.1445488617,0.084,0.29,4.1,0.0363
"Montana, Deer Lodge",1446,24,8.10426021246304,0.0511756569847856,12.3,1.9475412812,0.8128,0.484,3.7,3315,0.37,0.0,0.0041616471,0.0393166137,7.4,22.2,9949.0393684,0.1876629567,0.145,0.287,7.5,0.4424
"Montana, Fallon",422,4,9.24657534246575,0.0639810426540284,2.0,54.309470569,0.1471,0.706,2.3,246,0.43,0.0263,0.0017123288,0.0089041096,5.2,17.6,6947.7956387,0.1349986768,0.095,0.351,10.6,0.0268
"Montana, Fergus",1446,36,5.39908215603347,0.04149377593361,2.6,106.86928476,0.7291,0.593,2.0,1376,0.32,0.0,0.0023396023,0.0169171241,4.8,22.7,6500.1812681,0.1464997543,0.119,0.308,9.2,0.1688
"Montana, Flathead",17387,153,11.5762051201692,0.0679818255018117,19.6,123.68840037,0.3098,0.636,4.0,2112,0.9,0.25,0.0027324545,0.0135643351,8.9,18.2,6259.2059764,0.1583357938,0.071,0.219,8.7,0.1478
"Montana, Gallatin",18314,72,9.49265257964175,0.0579884241563831,42.6,110.63606322,0.4486,0.491,4.3,3289,0.8,0.2,0.0041653259,0.0103239301,7.1,11.8,4171.4552415,0.1437268088,0.044,0.17,7.8,0.0768
"Montana, Garfield",110,3,4.73186119873817,0.0545454545454545,0.3,12.283220818,0.1054,0.828,3.7,397,0.84,0.0525,0.0039432177,0.0055205047,5.2,19.8,,0.1468980363,0.111,0.269,11.5,0.0459
"Montana, Glacier",1902,48,6.76511238815742,0.0488958990536278,4.5,26.419870663,0.9596,0.299,3.0,4406,0.26,0.0,0.00254601,0.6463955772,6.6,11.4,17636.882108,0.3059191378,0.156,0.369,37.7,0.8545
"Montana, Golden Valley",67,3,2.42130750605327,0.0298507462686567,0.6,30.639824193,0.0054,0.61,3.0,2192,0.72,0.0475,0.0060532688,0.0169491525,4.8,25.0,,0.1554080208,0.056,0.262,10.2,0.2417
"Montana, Granite",310,2,7.69686204854944,0.0838709677419355,1.9,46.943585555,0.1299,0.672,3.0,1539,0.68,0.1625,0.0053285968,0.007696862,6.7,28.6,5600.4731758,0.141929136,0.108,0.231,6.9,0.1844
"Montana, Hill",2842,53,14.4368997369548,0.0830401125967628,5.8,45.898490522,0.6122,0.493,3.3,2791,0.64,0.45,0.0045879978,0.2429803634,6.1,14.3,9359.1784241,0.2291344156,0.105,0.381,6.6,0.6688
"Montana, Jefferson",1507,9,13.557080267835,0.108825481088255,5.9,35.401105156,0.1328,0.566,3.0,2136,0.5388,0.1225,0.0035546003,0.0181863272,7.3,20.1,5994.5262998,0.1451936762,0.071,0.265,6.1,0.1143
"Montana, Judith Basin",131,1,8.19672131147541,0.122137404580153,1.0,11.707624196,0.0226,0.662,3.0,947,0.6788,0.1225,0.0005122951,0.0097336066,4.5,20.8,3363.1587399,0.1498125135,0.092,0.312,8.1,0.1564
"Montana, Lake",3288,53,13.6198347107438,0.125304136253041,18.1,50.645653799,0.4253,0.503,3.7,3894,0.56,0.0,0.0050247934,0.2452231405,8.8,20.8,9607.0045233,0.1952538709,0.094,0.29,14.2,0.5939
"Montana, Lewis and Clark",9382,102,10.9752547307132,0.0803666595608612,20.9,172.79622103,0.454,0.48,4.0,3367,0.72,0.16,0.004279476,0.0225909753,6.1,17.3,6902.6977404,0.1414021642,0.082,0.267,5.7,0.0825
"Montana, Liberty",233,1,18.9300411522634,0.197424892703863,1.7,17.077213237,0.6154,0.698,3.0,9457,0.87,0.0,0.004526749,0.0082304527,5.9,24.9,,0.145263184,0.145,0.351,8.6,0.3341
"Montana, Lincoln",2993,45,18.6420127311306,0.123287671232877,5.6,53.167001683,0.1359,0.695,3.7,1862,0.29,0.1013,0.0038900677,0.0126300899,9.0,27.0,8381.8353778,0.1613272834,0.096,0.263,10.7,0.7602
